35,82920
35,210871
35,210872
40,141342
128,114
128,4584
128,6213
128,28487
130,114
130,6163
130,36802
130,39403
164,4637
164,4804
164,10177
164,12198
164,67415
288,40151
424,77758
424,197452
434,114
434,4649
434,6213
434,8703
434,10798
506,504
506,89416
887,35
887,198653
887,210871
910,906
910,5462
910,5869
910,25702
910,77758
940,941
943,20180
943,28265
1033,35
1033,41714
1033,45605
1034,1026
1034,1033
1034,1035
1035,35852
1035,45605
1213,8594
1272,4584
1272,13686
1385,6151
1385,6213
1385,13686
1385,28287
1688,35
1688,58758
1694,1688
1694,39474
1717,4330
1717,4335
1717,6913
1717,32688
1786,22563
1786,27895
1786,46547
1817,1956
1919,35778
1949,1952
1949,1953
1949,3097
1949,3112
1952,3097
1956,35
1956,936
1956,1955
1956,3828
1997,3233
1997,25772
2354,74749
2354,137790
2440,37483
2658,2665
2658,230879
2658,696345
2663,7047
2665,8581
2665,237489
2665,237521
2695,2696
2695,2698
2695,5348
2695,342802
2696,5348
2698,2695
2698,2696
3084,936
3084,143323
3084,198653
3085,20193
3085,566653
3085,566664
3095,1951
3095,10430
3097,1959
3097,82664
3097,82666
3101,1949
3101,1952
3101,3097
3112,77826
3112,77829
3187,5086
3191,3192
3191,5086
3191,16008
3191,39890
3192,3191
3192,15987
3192,16008
3220,22563
3229,6184
3229,29492
3229,30817
3229,144408
3231,6334
3231,10169
3231,17798
3231,39127
3231,39131
3233,1997
3233,3236
3233,3240
3233,49811
3237,3231
3237,3236
3237,49660
3237,116528
3240,97377
3828,936
3828,940
3828,941
3828,943
3932,22386
3932,74975
4329,4330
4330,6913
4330,12638
4637,12169
4660,2653
4660,12182
4660,18615
4660,18619
4804,9515
4804,10177
4804,12210
4804,12350
4878,1481
5038,4660
5038,12182
5038,38722
5038,65650
5062,3085
5062,20193
5064,5062
5064,5069
5064,5075
5064,28026
5069,5062
5069,5064
5069,5075
5069,28026
5069,177115
5075,3932
5086,3187
5086,3191
5086,3192
5348,2696
5462,910
5600,54550
5869,910
5869,2696
5959,37483
6125,1246
6125,2653
6125,12210
6125,12350
6125,59626
6130,672064
6130,672070
6130,672071
6151,887
6151,4584
6151,6213
6152,6151
6152,193742
6155,114
6155,4584
6155,6151
6155,6213
6155,6214
6163,6213
6163,6220
6163,6224
6163,124064
6169,28227
6170,114
6170,117
6184,4584
6184,6213
6184,6214
6184,19621
6196,114
6196,4584
6196,6214
6210,4584
6210,6213
6210,28350
6210,28489
6213,887
6213,4584
6213,6151
6214,117
6214,4584
6214,6151
6214,6213
6215,887
6215,6213
6215,6214
6217,10796
6217,28412
6220,114
6220,6213
6220,28350
6220,28412
6220,124064
6224,6213
6224,6214
6224,6215
6224,6220
6224,124064
6311,8224
6311,20584
6311,46887
6334,3231
6334,6767
6334,10169
6334,39131
