2358,2160,2367
1803,1548,2231
2534,1663,2532
1264,834,1264
2554,1162,722
780,920,780
1559,1311,1559
2703,2640,2703
1961,962,454
1820,311,1952
290,1357,290
2339,2559,705
32,178,32
1948,2563,1948
2195,575,2194
100,1696,2611
66,1548,2234
2103,2127,2036
546,1510,546
1930,2618,1930
2039,31,841
833,2223,1281
2308,2049,506
2276,2281,2276
2356,2177,362
2012,2011,2003
1111,1634,1693
1289,443,1289
2613,411,3
2161,125,20
1980,349,1448
234,1016,294
700,2325,700
120,1171,436
1575,1571,982
2611,1738,562
2004,2006,2004
402,2529,402
1207,1208,1885
1006,2485,1366
1650,1171,436
704,2442,704
1787,104,1787
2156,1738,540
2492,513,2492
2227,269,2227
2669,240,2669
1574,1834,2659
538,1846,2026
2177,1836,753
2041,1369,1787
2485,1366,1365
2469,710,1270
211,1044,211
891,2654,891
1260,1604,786
1016,580,2203
2386,2387,2386
2088,2617,2600
2122,543,2122
1318,1681,912
2038,1686,643
2281,2276,2281
1722,1785,1722
241,1193,241
910,1834,910
57,15,300
1385,880,2051
33,32,2616
2095,529,2061
438,1569,438
389,1727,389
2242,2288,2611
2489,143,2491
994,2421,2345
1743,1440,1743
1547,2691,2326
827,1896,2392
1639,297,1639
2475,1130,222
1212,2608,761
1259,1418,1259
503,2045,2033
857,20,27
92,2620,92
1984,135,1465
253,2649,1348
1437,439,1437
1308,1635,823
1377,1016,2315
693,61,467
2048,1686,2541
1668,2659,1834
2226,1281,1082
1005,1927,1665
936,1050,996
2183,2177,2164
1577,797,1577
2561,150,2561
888,233,1462
1448,69,1604
312,2368,1992
1542,921,1885
1472,1580,1472
231,2136,306
1268,2186,2102
1716,1536,831
1781,2173,1025
692,2620,92
2627,1036,1596
918,923,918
1017,2567,1017
1095,1379,1095
1775,1576,687
2264,2272,614
1719,1225,1719
1896,2392,13
1392,1016,2015
61,693,61
1119,373,1118
2147,1737,2147
1462,1973,2591
216,1765,2352
2112,2063,1561
1435,1979,405
1715,2344,2606
1960,1958,1960
900,902,901
725,2495,725
236,2081,2628
1659,1552,43
1751,2492,1767
2639,1400,250
2694,1863,648
102,1497,479
2579,757,1634
960,2294,2406
489,2012,2011
2448,2445,1227
1950,942,1950
2676,2678,2676
803,1223,2594
2346,1627,2369
1901,997,43
671,2054,671
1153,2571,1058
183,1025,1790
1999,118,1997
433,904,1634
480,1634,2685
238,1188,238
582,2362,1683
2087,2512,2090
733,1016,1667
65,83,65
1007,1009,2319
2200,2566,1998
953,1149,2264
422,2240,464
313,650,2158
627,2298,627
1884,1880,1029
1583,2600,1493
199,1634,2568
11,2229,2150
1176,2497,2496
1608,1606,1608
1849,1972,1849
1998,2241,949
446,1086,446
2128,2032,2128
626,2280,2279
1615,2359,2360
2546,149,753
1814,1477,922
758,1434,720
2321,1199,2321
2406,1824,1834
1661,67,1592
2539,1618,2631
558,2614,2610
2157,2694,1863
685,1012,1391
328,1366,1009
800,1608,1258
1845,1432,1686
177,1380,2487
1280,2370,2619
1137,563,1137
1646,1834,94
1525,909,1525
2637,1634,1569
317,896,2668
62,1599,1124
1340,1419,1201
370,1267,820
1191,1051,1191
1765,1766,1765
1291,1367,683
1139,1138,316
1374,1431,1374
2127,2041,2127
1965,1762,1763
2139,1194,2524
1077,2676,2178
1335,2177,202
1839,1608,554
1276,2611,762
698,1098,698
325,2514,162
